Spanish,Part of Speech,Synonyms,ShortDef,Definition,Sentences,Audio
desgraciadamente,adv,"por desgracia, desafortunadamente",,"<span class=""pos adv""> <span class=""usage"">unfortunately; unluckily</span></span>","<span class=""spa"">Desgraciadamente, mi padre no está en la casa.</span><br>
<span class=""eng"">Unfortunately, my father isn't at home.</span><br>
<span class=""spa"">Desgraciadamente me topé con el horario punta de la mañana.</span><br>
<span class=""eng"">Unfortunately I hit the morning rush hour.</span><br>
<span class=""spa"">Desgraciadamente, los suministros de comida se agotaron antes del final del invierno.</span><br>
<span class=""eng"">Unfortunately, the food supplies gave out before the end of winter.</span>",[sound:ZUAPBHPBMRXQMDFO24LPQATQJBJDKLHP.mp3]
autógrafo,m,,,"<span class=""pos noun m"">{m} <span class=""usage"">autograph</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">handwritten (by the author)</span></span>","<span class=""spa"">¿Me puede dar un autógrafo?</span><br>
<span class=""eng"">Could I get your autograph?</span><br>
<span class=""spa"">El admirador le pidió su autógrafo.</span><br>
<span class=""eng"">The fan asked for his autograph.</span><br>
<span class=""spa"">Voy a pedirle un autógrafo. ¿Llevas encima algo para escribir?</span><br>
<span class=""eng"">I'm going to ask him for an autograph. Do you have anything to write with?</span>",[sound:CTGIDSNGTYNVO6BUCZTDRBQZ7BASQ5S2.mp3]
entierro,m,,,"<span class=""pos noun m""> <span class=""usage"">burial, interment</span></span>","<span class=""spa"">Tom estaba como guitarra en entierro.</span><br>
<span class=""eng"">Tom stuck out like a sore thumb.</span><br>
<span class=""spa"">María cuidó de los hijos de los vecinos mientras ellos estaban en un entierro.</span><br>
<span class=""eng"">Mary minded her neighbours' children while they went to a funeral.</span>",[sound:4EE43QDMQAAYAKGWRHJDRUKHJBQX77KQ.mp3]
emboscada,f,,,"<span class=""pos noun f""> <span class=""usage"">ambush (an attack launched from a concealed position)</span></span>","<span class=""spa"">Se nos ha tendido una emboscada.</span><br>
<span class=""eng"">We've been ambushed.</span><br>
<span class=""spa"">Ellos tendieron una emboscada al enemigo.</span><br>
<span class=""eng"">They ambushed the enemy.</span><br>
<span class=""spa"">Tom explicó como sería la emboscada.</span><br>
<span class=""eng"">Tom explained how the ambush would work.</span>",[sound:HMGDR53FJLDNW5XEJK6UUZWWE26JH2JU.mp3]
yen,m,,,"<span class=""pos noun m""> <span class=""usage"">yen</span></span>","<span class=""spa"">¿En dónde puedo cambiar yenes por dólares?</span><br>
<span class=""eng"">Where can I exchange yen for dollars?</span><br>
<span class=""spa"">El precio del pan subió en 10 yenes.</span><br>
<span class=""eng"">Bread has gone up ten yen in price.</span><br>
<span class=""spa"">Me costó 5.000 yenes reparar mi bicicleta.</span><br>
<span class=""eng"">It cost me 5,000 yen to repair my bicycle.</span>",[sound:U2QA4X5DWCAA5YW24LNZ62DNERXO5KJL.mp3]
reconstruir,verb,,,"<span class=""pos verb v""> <span class=""usage"">to rebuild, reconstruct</span></span>","<span class=""spa"">Nuestra casa se reconstruyó por entero.</span><br>
<span class=""eng"">Our house was entirely rebuilt.</span>",[sound:U4Q5M6RXIZ4ZOJWWJE74UTLFCMETCLZX.mp3]
en un abrir y cerrar de ojos,adv,,"<span class=""pos adv""> <span class=""tag"">[idiomatic]:</span><span class=""usage"">in the wink of an eye; at the drop of a hat</span></span>","<span class=""pos adv""> <span class=""tag"">[idiomatic]:</span><span class=""usage"">in the wink of an eye, in the blink of an eye, in the twinkling of an eye; at the drop of a hat, at a moment's notice, in a heartbeat</span></span>","<span class=""spa"">Él terminó el trabajo en un abrir y cerrar de ojos.</span><br>
<span class=""eng"">He finished the job in an instant.</span><br>
<span class=""spa"">Ocurrió en un abrir y cerrar de ojos.</span><br>
<span class=""eng"">It happened in the blink of an eye.</span><br>
<span class=""spa"">Ella prepara exquisitos platos en un abrir y cerrar de ojos.</span><br>
<span class=""eng"">She makes excellent meals in the blink of an eye.</span>",[sound:GKWYJYUYNW6WE6XZZCEOCJUVNOMURW2Y.mp3]
olla,f,,"<span class=""pos noun f""> <span class=""usage"">pot, pan; kettle (vessel used for cooking food)</span></span>","<span class=""pos noun f""> <span class=""usage"">pot, pan; kettle (vessel used for cooking food); stew (dish cooked by stewing); pool, whirlpool</span></span>","<span class=""spa"">¿Se te ha ido la olla?</span><br>
<span class=""eng"">Have you gone nuts?</span><br>
<span class=""spa"">Tom se comió el guiso directamente de la olla.</span><br>
<span class=""eng"">Tom ate the stew right out of the pot.</span><br>
<span class=""spa"">Tom siempre usa la olla de arroz que trajo de Japón.</span><br>
<span class=""eng"">Tom always uses the rice cooker that he brought back from Japan.</span>",[sound:WWWU3VSPY3L3DSX4H5JEV2XTG4KC72AZ.mp3]
flojo,adj,"débil, suelto, perezoso, holgazán",,"<span class=""pos adj""> <span class=""usage"">loose; lazy</span></span>","<span class=""spa"">Tom no es un niño flojo.</span><br>
<span class=""eng"">Tom isn't a lazy child.</span><br>
<span class=""spa"">Soy demasiado flojo como para hacer los deberes.</span><br>
<span class=""eng"">I'm too lazy to do my homework.</span><br>
<span class=""spa"">Tom definitivamente no es estúpido. Solo es flojo.</span><br>
<span class=""eng"">Tom is definitely not stupid. He's just lazy.</span>",[sound:5VO2UIOCVUNEULSGEYEHDIRS3WRMZ4JI.mp3]
atropellar,verb,arrollar,"<span class=""pos verb vt"">{vt} <span class=""usage"">to run over; to drive over</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to run over; to drive over</span></span>
<span class=""pos verb v"">{v} <span class=""usage"">to be abusive, bully</span></span>","<span class=""spa"">Un auto atropelló a Tomás.</span><br>
<span class=""eng"">A car hit Tom.</span><br>
<span class=""spa"">Tom atropelló al perro de alguien.</span><br>
<span class=""eng"">Tom ran over someone's dog.</span><br>
<span class=""spa"">Estuvieron a punto de atropellarle.</span><br>
<span class=""eng"">He was nearly run over by a car.</span>",[sound:GGOQ7ZX3KX4UVDBUZ7B5GJPTCVLO54HU.mp3]
intervención,f,,,"<span class=""pos noun f""> <span class=""usage"">intervention</span></span>","<span class=""spa"">Después de la caída hubo que hacerle una rápida intervención.</span><br>
<span class=""eng"">He had to undergo an operation immediately after his fall.</span><br>
<span class=""spa"">El sindicato ha pedido la intervención del Estado en la cuestión.</span><br>
<span class=""eng"">The union has asked for the mediation of the government in the dispute.</span><br>
<span class=""spa"">La intervención estatal debe hacerse generando incentivos correctos e intensos.</span><br>
<span class=""eng"">State intervention should be conducted by generating positive and intense incentives.</span>",[sound:VQOGL3SGKAMYCJE33ZXGJNQXLMIOF4GU.mp3]
oponente,mf,rival,,"<span class=""pos noun mf"">{mf} <span class=""usage"">opponent</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">opposing</span></span>","<span class=""spa"">No subestimes a tu oponente.</span><br>
<span class=""eng"">Don't underestimate your opponent.</span><br>
<span class=""spa"">Él noqueó a su oponente.</span><br>
<span class=""eng"">He knocked his opponent out.</span><br>
<span class=""spa"">El samurai decapitó a su oponente con un violento golpe hacia abajo.</span><br>
<span class=""eng"">The samurai decapitated his opponent in one fell swoop.</span>",[sound:N2RFLAF6JIJSCNU6G732D45YQNKMQIKG.mp3]
gratitud,f,agradecimiento,,"<span class=""pos noun f""> <span class=""usage"">gratitude</span></span>","<span class=""spa"">No puedo expresar mi gratitud en palabras.</span><br>
<span class=""eng"">I cannot express my gratitude with words.</span><br>
<span class=""spa"">No sé cómo expresar mi gratitud.</span><br>
<span class=""eng"">I don't know how to express my gratitude.</span><br>
<span class=""spa"">No tengo palabras para expresar mi gratitud.</span><br>
<span class=""eng"">I have no words to express my gratitude.</span>",[sound:7PDVOKLPG274MPVNRXXMAKPGBRDQP234.mp3]
cariñoso,adj,,"<span class=""pos adj""> <span class=""usage"">loving, kind, caring; tender, fond, affectionate, warm</span></span>","<span class=""pos adj""> <span class=""usage"">loving, kind, caring, warm-hearted; tender, fond, affectionate, warm, cuddly; doting</span></span>","<span class=""spa"">Era muy cariñoso con sus padres.</span><br>
<span class=""eng"">He was very affectionate with his parents.</span><br>
<span class=""spa"">Es agradable ver a una cariñosa pareja de ancianos.</span><br>
<span class=""eng"">It is pleasant to watch a loving old couple.</span><br>
<span class=""spa"">Me escribió una carta cariñosa.</span><br>
<span class=""eng"">He sent me an affectionate letter.</span>",[sound:IOOJTLD4O2PGAFVV3WNXGTAKBNVSCBLY.mp3]
sobredosis,f,,,"<span class=""pos noun f""> <span class=""usage"">overdose</span></span>","<span class=""spa"">Tom murió de una sobredosis de drogas.</span><br>
<span class=""eng"">Tom died of a drug overdose.</span><br>
<span class=""spa"">El adicto murió de sobredosis.</span><br>
<span class=""eng"">The addict died from a drug overdose.</span>",[sound:QGOMQ7K2AFNE4U6DCHKWKE7RU3AQTJF3.mp3]
independencia,f,,,"<span class=""pos noun f""> <span class=""usage"">independence</span></span>","<span class=""spa"">Kenia consiguió la independencia en 1963.</span><br>
<span class=""eng"">Kenya became independent in 1963.</span><br>
<span class=""spa"">La nación declaró recientemente su independencia.</span><br>
<span class=""eng"">The nation recently declared its independence.</span><br>
<span class=""spa"">Los Estados Unidos declararon su independencia de la Gran Bretaña en 1776.</span><br>
<span class=""eng"">The US declared independence from Great Britain in 1776.</span>",[sound:MX7ECTJF4D4GQIYM2K6HH7E7TECRDQJK.mp3]
santuario,m,,,"<span class=""pos noun m""> <span class=""usage"">sanctuary, shrine</span></span>","<span class=""spa"">Solía haber un pequeño santuario por aquí.</span><br>
<span class=""eng"">There used to be a small shrine around here.</span><br>
<span class=""spa"">Kyoto es famoso por sus santuarios y templos.</span><br>
<span class=""eng"">Kyoto is famous for its shrines and temples.</span>",[sound:EB4KFX57ZZ3YYKKMDR4EAABDF7HABMSV.mp3]
norteamericano,adj,estadounidense,"<span class=""pos adj""> <span class=""usage"">born in; American</span></span>","<span class=""pos adj"">{adj} <span class=""usage"">born in, belonging or relative to the United States; American [of the United States]</span></span>
<span class=""pos noun m_f mf"">{mf} <span class=""usage"">born in, belonging or relative to the United States; American [of the United States]</span></span>","<span class=""spa"">Hay una chica norteamericana que quiere verte.</span><br>
<span class=""eng"">There's an American girl who wants to see you.</span><br>
<span class=""spa"">Los norteamericanos tienen fácil acceso a armas.</span><br>
<span class=""eng"">Guns are readily accessible to Americans.</span><br>
<span class=""spa"">Me encontré con una chica norteamericana.</span><br>
<span class=""eng"">I met an American girl.</span>",[sound:P6G3JFO56ZQBGXBUEWPJPLJ6LNOAJWVY.mp3]
diseñador,m/f,,,"<span class=""pos noun m_f mf"">{mf} <span class=""usage"">designer</span></span>","<span class=""spa"">¿Quién es tu diseñador de moda preferido?</span><br>
<span class=""eng"">Who's your favorite fashion designer?</span><br>
<span class=""spa"">Tom es diseñador gráfico, ¿no?</span><br>
<span class=""eng"">Tom is a graphic designer, isn't he?</span><br>
<span class=""spa"">Ella es diseñadora de moda.</span><br>
<span class=""eng"">She's a fashion designer.</span>",[sound:RPAUBUNKGKMUGX35JYAIAZRKNAVKETIG.mp3]
complicar,verb,,"<span class=""pos verb v"">{v} <span class=""usage"">to complicate</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to get complicated, get messy</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to complicate</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to get complicated, get messy; to make it harder or more difficult for oneself</span></span>","<span class=""spa"">No complique usted la cuestión.</span><br>
<span class=""eng"">Don't complicate the matter.</span><br>
<span class=""spa"">Su mentira complicó la cosa.</span><br>
<span class=""eng"">His lie complicated matters.</span><br>
<span class=""spa"">Eso puede complicar las cosas.</span><br>
<span class=""eng"">That can complicate matters.</span>",[sound:DPA2CSF6C6MQTSUBH3D37IAIU3OTIPFB.mp3]
estándar,adj,,,"<span class=""pos adj"">{adj} <span class=""usage"">standard</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">standard</span></span>","<span class=""spa"">Tienes que aprender inglés estándar.</span><br>
<span class=""eng"">You have to learn standard English.</span><br>
<span class=""spa"">Él no cumplía con los estándares.</span><br>
<span class=""eng"">He didn't meet the standards.</span><br>
<span class=""spa"">Los palos en una baraja de cartas estándar son tréboles, diamantes, corazones y espadas.</span><br>
<span class=""eng"">The suits in a standard deck of cards are clubs, diamonds, hearts and spades.</span>",[sound:AF42UCXH2FUYPVN2T3VAJUCRUXODOIZP.mp3]
impaciente,adj,,,"<span class=""pos adj""> <span class=""usage"">impatient</span></span>","<span class=""spa"">Ambos son impredecibles e impacientes.</span><br>
<span class=""eng"">Both of them are unpredictable and impatient.</span><br>
<span class=""spa"">Mis estudiantes han estado esperando impacientes los resultados del examen.</span><br>
<span class=""eng"">My students have been eagerly awaiting the test results.</span><br>
<span class=""spa"">Ella estaba impaciente porque no tenía nada que hacer.</span><br>
<span class=""eng"">She was restless because she did not have anything to do.</span>",[sound:2QFOW5QGW53Q7ZHATG7XHIDLB7SK5LPG.mp3]
representación,f,,,"<span class=""pos noun f""> <span class=""usage"">representation</span></span>","<span class=""spa"">Es una representación de los canales artificiales de un río que se ha secado.</span><br>
<span class=""eng"">It is a representation of the man-made channels of a river that has dried up.</span>",[sound:KK2WRQFVDM52GYJF3ZLKBN6RIZUJPACR.mp3]
paja,f,,"<span class=""pos noun f""> <span class=""tag"">[countable]:</span><span class=""usage"">straw</span></span>
<span class=""pos noun f""> <span class=""tag"">[uncountable]:</span><span class=""usage"">straw</span></span>","<span class=""pos noun f""> <span class=""tag"">[countable]:</span><span class=""usage"">straw (dried stalk of a cereal plant)</span></span>
<span class=""pos noun f""> <span class=""tag"">[uncountable]:</span><span class=""usage"">straw (dried stalks considered collectively)</span></span>
<span class=""pos noun f""> <span class=""usage"">A drinking straw</span></span>
<span class=""pos noun f""> <span class=""tag"">[slang]:</span><span class=""usage"">wank, handjob, masturbation</span></span>
<span class=""pos noun f el-salvador guatemala only-central-america only-latin-america""> <span class=""tag"">[colloquial, countable, Guatemala, El Salvador]:</span><span class=""usage"">lie, falsehood</span></span>
<span class=""pos noun f colombia only-colombia only-latin-america only-south-america""> <span class=""tag"">[colloquial, uncountable, Colombia]:</span><span class=""usage"">bullshit, lies, falsehoods</span></span>
<span class=""pos noun f""> <span class=""tag"">[Peruvian Spanish]:</span><span class=""usage"">very good, great, excellent</span></span>
<span class=""pos noun f argentina chile only-latin-america only-south-america""> <span class=""tag"">[vulgar, uncountable, Argentina, Chile]:</span><span class=""usage"">laziness, tiredness, fatigue</span></span>","<span class=""spa"">No estoy cubriendo de paja tu tejado.</span><br>
<span class=""eng"">I'm not covering your roof with straw.</span><br>
<span class=""spa"">En Hokkaido hacen caballos de paja.</span><br>
<span class=""eng"">In Hokkaido, they make horses of straw.</span><br>
<span class=""spa"">Tomás se está haciendo la paja.</span><br>
<span class=""eng"">Tom is jacking off.</span>",[sound:XZWMYC3C7HBZYCSF65IFYI67SPN6GX3Z.mp3]
lavandería,f,,,"<span class=""pos noun f""> <span class=""usage"">laundry, laundromat</span></span>","<span class=""spa"">Ella llevó los manteles a la lavandería.</span><br>
<span class=""eng"">She took the tablecloths to the laundry.</span><br>
<span class=""spa"">¿Hay algún detergente en la lavandería?</span><br>
<span class=""eng"">Are there any detergents in the laundry?</span>",[sound:Y7E3VQYEFXCOVQONWA6LY6HFOFZSQSVG.mp3]
buque,m,,,"<span class=""pos noun m""> <span class=""usage"">ship, vessel</span></span>","<span class=""spa"">El casco del buque está averiado.</span><br>
<span class=""eng"">The ship's hull is damaged.</span><br>
<span class=""spa"">Ya está completa la dotación del buque.</span><br>
<span class=""eng"">The ship's crew is now complete.</span><br>
<span class=""spa"">Es muy agradable cruzar el océano en buque.</span><br>
<span class=""eng"">It is very pleasant to cross the ocean by ship.</span>",[sound:THLFN42VZCCHGWVD4LPYWMEFEP5UUNO5.mp3]
gruñir,verb,,,"<span class=""pos verb v""> <span class=""usage"">to grunt; to growl</span></span>","<span class=""spa"">El perro le gruñó al niñito.</span><br>
<span class=""eng"">The dog growled at a little boy.</span><br>
<span class=""spa"">El perro le gruñó al extraño.</span><br>
<span class=""eng"">The dog growled at the strange man.</span><br>
<span class=""spa"">Gruñía porque no le pagaban bastante.</span><br>
<span class=""eng"">He grumbled because they didn't pay him enough.</span>",[sound:DP657ONNTJLLIR7EB3BRVMF2QCLAGWWC.mp3]
terminal,m-f,,"<span class=""pos noun m-f mf"">{mf} <span class=""usage"">terminal</span></span>","<span class=""pos noun m-f mf"">{mf} <span class=""usage"">terminal (a building in an airport where passengers transfer from ground transportation to airplanes); terminal (a device for entering data into a computer)</span></span>
<span class=""pos noun m-f m"">{m} <span class=""usage"">mobile phone</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">final, last; terminal, fatal (resulting in death); terminally ill</span></span>","<span class=""spa"">¿Dónde está el terminal de buses?</span><br>
<span class=""eng"">Where is the bus terminal?</span><br>
<span class=""spa"">¿Dónde está la terminal sur?</span><br>
<span class=""eng"">Where is the south terminal?</span><br>
<span class=""spa"">Sal de la terminal y gira a la derecha.</span><br>
<span class=""eng"">Go out of the terminal and turn right.</span>",[sound:GCTGQ3QE732S3U3OX7INW2XKPQ7ZF5MI.mp3]
fresa,f,,"<span class=""pos noun f""> <span class=""usage"">strawberry; endmill</span></span>","<span class=""pos noun f""> <span class=""usage"">strawberry; endmill; milling cutter (rotary cutting tool)</span></span>
<span class=""pos noun f mexico only-latin-america only-mexico""> <span class=""tag"">[colloquial, Mexico]:</span><span class=""usage"">snob</span></span>","<span class=""spa"">Las fresas ya están de temporada.</span><br>
<span class=""eng"">Strawberries are in season now.</span><br>
<span class=""spa"">Tengo un amigo que le da de comer fresas a su perro.</span><br>
<span class=""eng"">I have a friend who feeds his dog strawberries.</span><br>
<span class=""spa"">Cuando tenía 14 años, él empezó a plantar fresas.</span><br>
<span class=""eng"">When he was 14, he started to plant strawberries.</span>",[sound:AVHQLAHR554AZRIEXKKUW25BXNNJ277L.mp3]
farsa,f,,"<span class=""pos noun f""> <span class=""usage"">charade, farce; farce</span></span>","<span class=""pos noun f""> <span class=""usage"">charade, farce (style of humor marked by broad improbabilities); farce (film or play featuring this type of humor); farce (a situation abounding with ludicrous incidents)</span></span>","<span class=""spa"">El Triángulo de las Bermudas es una farsa.</span><br>
<span class=""eng"">The Bermuda Triangle is a sham.</span>",[sound:FDBHYKTLCZZTHJQTB55CIZHBP4S2WJFR.mp3]
absorber,verb,,,"<span class=""pos verb v""> <span class=""usage"">to absorb; to use up</span></span>","<span class=""spa"">Las alfombras absorben el sonido.</span><br>
<span class=""eng"">Rugs absorb sound.</span><br>
<span class=""spa"">La ropa negra absorbe la luz.</span><br>
<span class=""eng"">Black cloth absorbs light.</span><br>
<span class=""spa"">A ella la absorbió su trabajo.</span><br>
<span class=""eng"">She was absorbed in her work.</span>",[sound:DCW7OAURHEPYGHVADQMYAYJJMHILCPQ6.mp3]
entorno,m,,"<span class=""pos noun m""> <span class=""usage"">surroundings, environment, setting, milieu; entourage</span></span>","<span class=""pos noun m""> <span class=""usage"">surroundings, environment, setting, milieu, atmosphere; entourage</span></span>","<span class=""spa"">Este es un buen entorno de aprendizaje.</span><br>
<span class=""eng"">This is a good learning environment.</span><br>
<span class=""spa"">El paisaje en este entorno es muy bonito.</span><br>
<span class=""eng"">The scenery around here is very beautiful.</span><br>
<span class=""spa"">A ella le costó adaptarse a su nuevo entorno.</span><br>
<span class=""eng"">She found it was difficult to adapt herself to her new surroundings.</span>",[sound:WUWMKA7AM64DMPHCTDS7XRMJ66PYST6T.mp3]
chulo,adj,"bonito, genial, engreído, arrogante, petulante","<span class=""pos adj""> <span class=""tag"">[of actions]:</span><span class=""usage"">cute</span></span>
<span class=""pos adj only-spain spain""> <span class=""tag"">[Spain, colloquial, of people]:</span><span class=""usage"">cocky</span></span>","<span class=""pos adj"">{adj} <span class=""tag"">[of actions]:</span><span class=""usage"">cute, pretty, lovely, cool, nifty</span></span>
<span class=""pos adj only-spain spain""> <span class=""tag"">[Spain, colloquial, of people]:</span><span class=""usage"">cocky (overly confident, arrogant and boastful)</span></span>
<span class=""pos adj chile only-chile only-latin-america only-south-america""> <span class=""tag"">[Chile, colloquial]:</span><span class=""usage"">ordinary, common, vulgar, rascal</span></span>
<span class=""pos noun m only-spain spain"">{m} <span class=""tag"">[Spain]:</span><span class=""usage"">pimp</span></span>","<span class=""spa"">Tienes un coche muy chulo.</span><br>
<span class=""eng"">You have a very nice car.</span><br>
<span class=""spa"">Mi hermano se puso chulo.</span><br>
<span class=""eng"">My brother became cheeky.</span><br>
<span class=""spa"">El gato es muy chulo.</span><br>
<span class=""eng"">The cat is very cute.</span>",[sound:LQILNQTKHTYXZNQKB3UAZPLKWI5L5ZYH.mp3]
significativo,adj,,,"<span class=""pos adj""> <span class=""usage"">significant</span></span>","<span class=""spa"">El resultado fue poco significativo.</span><br>
<span class=""eng"">The result was of little significance.</span><br>
<span class=""spa"">Existen diferencias significativas entre esos dos países.</span><br>
<span class=""eng"">There are significant differences between those two countries.</span><br>
<span class=""spa"">Él estudió a los científicos considerados como los más significativos del siglo XIX.</span><br>
<span class=""eng"">He studied the scientists considered to be the most significant of the 19th century.</span>",[sound:KOHH5WQOEODMPZ4AQZJLDHJJ4XKHLTOM.mp3]
arteria,f,,,"<span class=""pos noun f""> <span class=""tag"">[anatomy]:</span><span class=""usage"">artery</span></span>","<span class=""spa"">Afortunadamente, la mordedura de tiburón no dañó ninguna arteria principal.</span><br>
<span class=""eng"">Fortunately, the shark bite didn't hit any major arteries.</span><br>
<span class=""spa"">Arterias, venas y capilares son los 3 tipos principales de vasos sanguíneos.</span><br>
<span class=""eng"">Arteries, veins, and capillaries are the three main types of blood vessel.</span><br>
<span class=""spa"">Los pulmones, el corazón, la venas, arterias y pequeños capilares forman el sistema cardiovascular.</span><br>
<span class=""eng"">Lungs, heart, veins, arteries and capillaries form the cardiovascular system.</span>",[sound:UUTMHWGANM7O6MEVNJ7PO33J2N57KM2E.mp3]
barrer,verb,,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to sweep</span></span>","<span class=""spa"">Me ordenó que barriera la habitación.</span><br>
<span class=""eng"">He ordered me to sweep the room.</span><br>
<span class=""spa"">Voy a barrer el piso mientras vos lavás los platos.</span><br>
<span class=""eng"">I'll sweep the floor while you wash the dishes.</span><br>
<span class=""spa"">Cuando termines de inflar esos globos, ¿podrías barrer la sala?</span><br>
<span class=""eng"">After you blow up those balloons, could you sweep the room?</span>",[sound:5ERMUDLFYZVMXQWDDT3FMRL654AMLIHE.mp3]
calabaza,f,,"<span class=""pos noun f""> <span class=""usage"">pumpkin, Cucurbita pepo; cep, porcino</span></span>","<span class=""pos noun f""> <span class=""usage"">pumpkin, Cucurbita pepo (a typical pumpkin used for Halloween and autumn seasonal decoration); cep, porcino (Boletus edulis); butternut squash (ellipsis of calabaza de nuez)</span></span>
<span class=""pos noun f argentina caribbean mexico spain""> <span class=""tag"">[Spain, Mexico, Caribbean, Argentina]:</span><span class=""usage"">gourd, pumpkin</span></span>","<span class=""spa"">Le dieron calabazas en geometría.</span><br>
<span class=""eng"">They flunked him in geometry.</span><br>
<span class=""spa"">Tom le horneó una tarta de calabaza a su esposa.</span><br>
<span class=""eng"">Tom baked his wife a pumpkin pie.</span><br>
<span class=""spa"">No consigues berenjenas de una planta de calabaza.</span><br>
<span class=""eng"">You don't get eggplants from a gourd vine.</span>",[sound:AB6UBGGBPHO7G2F25P63PLCCDBRWO5CQ.mp3]
ciervo,m/f,,,"<span class=""pos noun m_f f"">{f} <span class=""usage"">doe, hind (female deer)</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">deer, stag</span></span>","<span class=""spa"">Nosotros disparamos a un ciervo.</span><br>
<span class=""eng"">We hit a deer.</span><br>
<span class=""spa"">El ciervo dormía sobre un lecho de hojas.</span><br>
<span class=""eng"">The deer slept on a bed of leaves.</span><br>
<span class=""spa"">No vimos muchos ciervos en el bosque.</span><br>
<span class=""eng"">We didn't see many deer in the forest.</span>",[sound:FJPALL33IAEHAYVFXYUOOB27UZS72UPZ.mp3]
colorado,adj,rojo,,"<span class=""pos adj""> <span class=""usage"">colored; red</span></span>","<span class=""spa"">Y colorín colorado, este cuento se ha acabado.</span><br>
<span class=""eng"">And they all lived happily ever after.</span>",[sound:RDVGBSZN76B4E7Y7OO6J7M2X3OA2TOEL.mp3]
rompecabezas,m,,,"<span class=""pos noun m""> <span class=""usage"">A jigsaw puzzle</span></span>","<span class=""spa"">Acabo de solucionar el rompecabezas.</span><br>
<span class=""eng"">I just solved the puzzle.</span><br>
<span class=""spa"">Este rompecabezas tiene 500 piezas.</span><br>
<span class=""eng"">This puzzle has 500 pieces.</span><br>
<span class=""spa"">Me pareció que era un rompecabezas relativamente difícil.</span><br>
<span class=""eng"">I felt it was a relatively difficult jigsaw puzzle.</span>",[sound:SL7DVJFR5QUBDQDKINSQJBPQIL5BJBMW.mp3]
sustituir,verb,,,"<span class=""pos verb v""> <span class=""usage"">to replace</span></span>","<span class=""spa"">Yo sustituiré a mi padre.</span><br>
<span class=""eng"">I'll take my father's place.</span><br>
<span class=""spa"">Yo busqué a alguien que la sustituyera.</span><br>
<span class=""eng"">I looked for someone to take her place.</span><br>
<span class=""spa"">Estoy ocupado mañana, así que preparé a otro para que me sustituyera.</span><br>
<span class=""eng"">I'm engaged tomorrow, so I've arranged for someone else to take my place.</span>",[sound:S576N4PK247EJ6XZ2F6K7ZILOLJHV4OW.mp3]
separación,f,,,"<span class=""pos noun f""> <span class=""usage"">separation</span></span>","<span class=""spa"">Hoy en día, la separación y el divorcio no están tan mal vistos.</span><br>
<span class=""eng"">Today, separation and divorce are not as frowned upon.</span><br>
<span class=""spa"">Antiguamente la separación o el divorcio eran muy mal vistos por todos.</span><br>
<span class=""eng"">In the past, separation and divorce were frowned upon by everyone.</span><br>
<span class=""spa"">La separación entre él y yo fue dolorosa, pero necesaria.</span><br>
<span class=""eng"">The separation between myself and him was painful, but necessary.</span>",[sound:LJ2DY4MSEYW5JYMDYRVGEX7Y44PYLIWS.mp3]
sensato,adj,,,"<span class=""pos adj""> <span class=""usage"">sensible; reasonable, sound</span></span>","<span class=""spa"">Sus consejos son siempre muy sensatos.</span><br>
<span class=""eng"">His advice is always very sensible.</span><br>
<span class=""spa"">Me di cuenta de que el plan no era sensato.</span><br>
<span class=""eng"">I felt that the plan was unwise.</span>",[sound:NB6PACWSO5UHROMAJXYGDYMDCPUN53UD.mp3]
tasa,f,,,"<span class=""pos noun f""> <span class=""usage"">tax; rate</span></span>","<span class=""spa"">En este país, la tasa de natalidad está descendiendo rápidamente.</span><br>
<span class=""eng"">The birthrate is rapidly declining in this country.</span><br>
<span class=""spa"">Estoy sorprendido de la tasa a la que crecen las industrias.</span><br>
<span class=""eng"">I'm amazed by the rate at which industries grow.</span><br>
<span class=""spa"">Tom ni siquiera le ofreció a Mary una tasa de café.</span><br>
<span class=""eng"">Tom didn't even offer Mary a cup of coffee.</span>",[sound:LYWROBV7ELXQX5ZQJIAWJ3764XUAIYWE.mp3]
suposición,f,,,"<span class=""pos noun f""> <span class=""usage"">supposition</span></span>","<span class=""spa"">Eso fue sólo una suposición.</span><br>
<span class=""eng"">That was only a guess.</span><br>
<span class=""spa"">Parece ser una suposición razonable.</span><br>
<span class=""eng"">That seems to be a reasonable assumption.</span><br>
<span class=""spa"">Los hechos no se corresponden con tu suposición.</span><br>
<span class=""eng"">The facts don't correspond with your assumption.</span>",[sound:QMRT5JMTWGL5YAZJFHWOWDOTEFOX3QJM.mp3]
